72.9 27.2 [73.8, 23.8] [Silica Deposit 25]
29.3 49.5 [29.0, 50.4] [Rich Metal Deposit 100]
19.9 32.8 [20.5, 33.2] [Oil Rock 25]
61.4 73.0 [62.7, 73.9] [Salt Deposit 5]
37.7 51.2 [37.0, 47.3] [Metal Deposit 25]
41.1 50.5 [37.0, 47.3] [Metal Deposit 25]
15.8 6.2 [37.0, 47.3] [Metal Deposit 25]
3.8 96.7 [3.5, 91.2] [Crystal Deposit 25]
91.8 12.3 [91.5, 19.9] [Underwater Metal Deposit 25]
45.5 74.9 [44.7, 74.6] [Metal Deposit 25]
54.1 43.2 [54.0, 40.5] [Metal Deposit 25]
5.0 60.4 [4.2, 70.3] [Silica Deposit 25]
81.6 0.6 [37.0, 47.3] [Metal Deposit 25]
4.1 85.6 [4.0, 86.3] [Crystal Deposit 25]
63.9 49.2 [37.0, 47.3] [Metal Deposit 25]
92.8 57.8 [92.6, 57.4] [Oil Rock 25]
36.4 82.5 [36.8, 83.2] [Obsidian Deposit 25]
98.0 4.5 [93.0, 5.1] [Silica Deposit 25]
92.5 92.2 [91.1, 91.8] [Underwater Metal Deposit 25]
13.9 74.6 [37.0, 47.3] [Metal Deposit 25]
1.0 73.0 [4.2, 70.3] [Silica Deposit 25]
81.3 91.6 [37.0, 47.3] [Metal Deposit 25]
43.5 3.7 [37.0, 47.3] [Metal Deposit 25]
94.7 36.2 [94.3, 36.7] [Silica Deposit 25]
3.7 14.2 [5.4, 14.7] [Underwater Metal Deposit 25]
46.2 10.3 [44.6, 9.8] [Silica Deposit 25]
86.6 61.9 [37.0, 47.3] [Metal Deposit 25]
59.6 19.0 [59.7, 18.2] [Underwater Metal Deposit 25]
20.3 16.7 [18.0, 17.2] [Rich Metal Deposit 100]
96.5 91.9 [37.0, 47.3] [Metal Deposit 25]
91.2 74.1 [37.0, 47.3] [Metal Deposit 25]
15.8 52.8 [14.2, 54.0] [Underwater Metal Deposit 25]
98.1 95.2 [37.0, 47.3] [Metal Deposit 25]
52.7 38.4 [37.0, 47.3] [Metal Deposit 25]
63.7 4.3 [63.3, 4.2] [Underwater Metal Deposit 25]
40.2 63.6 [37.0, 47.3] [Metal Deposit 25]
31.9 54.4 [33.0, 56.2] [Obsidian Deposit 25]
35.5 23.9 [37.0, 47.3] [Metal Deposit 25]
91.1 13.6 [94.6, 13.2] [Underwater Metal Deposit 25]
27.6 32.1 [27.7, 28.9] [Crystal Deposit 25]
7.5 8.2 [37.0, 47.3] [Metal Deposit 25]
99.5 85.2 [37.0, 47.3] [Metal Deposit 25]
20.4 9.0 [20.8, 9.6] [Underwater Metal Deposit 25]
84.8 68.8 [84.8, 70.9] [Silica Deposit 25]
54.5 37.1 [49.4, 36.5] [Metal Deposit 25]
15.6 13.0 [37.0, 47.3] [Metal Deposit 25]
25.5 18.5 [37.0, 47.3] [Metal Deposit 25]
80.8 30.7 [37.0, 47.3] [Metal Deposit 25]
73.6 17.6 [74.0, 17.8] [Obsidian Deposit 25]
23.1 81.8 [37.0, 47.3] [Metal Deposit 25]
42.4 37.0 [42.3, 38.4] [Rare Flowers 5]
88.2 30.4 [87.1, 31.0] [Silica Deposit 25]
29.4 77.3 [37.0, 47.3] [Metal Deposit 25]
99.4 81.5 [37.0, 47.3] [Metal Deposit 25]
75.0 13.4 [72.6, 12.8] [Underwater Metal Deposit 25]
74.5 12.3 [72.6, 12.8] [Underwater Metal Deposit 25]
25.8 60.8 [25.6, 59.2] [Crystal Deposit 25]
19.4 39.1 [21.8, 39.5] [Silica Deposit 25]
99.2 70.1 [99.0, 70.7] [Silica Deposit 25]
28.9 97.3 [28.3, 96.1] [Oil Rock 25]
3.9 10.2 [5.2, 13.1] [Underwater Metal Deposit 25]
2.4 42.1 [37.0, 47.3] [Metal Deposit 25]
20.7 77.7 [20.4, 77.6] [Savoroot 1]
33.9 20.3 [33.7, 19.9] [Silica Deposit 25]
28.1 92.9 [26.2, 90.4] [Silica Deposit 25]
67.2 2.7 [64.6, 2.0] [Underwater Metal Deposit 25]
64.0 26.3 [61.7, 25.4] [Silica Deposit 25]
17.2 11.5 [15.1, 11.6] [Underwater Metal Deposit 25]
53.6 34.0 [52.7, 36.6] [Rare Flowers 5]
45.2 25.7 [42.4, 28.7] [Obsidian Deposit 25, Rich Metal Deposit 100]
95.2 63.2 [95.1, 64.2] [Underwater Metal Deposit 25]
42.7 97.4 [37.0, 47.3] [Metal Deposit 25]
88.3 33.9 [37.0, 47.3] [Metal Deposit 25]
20.9 66.7 [20.8, 67.8] [Sulfur Deposit 5]
9.7 92.1 [8.7, 90.8] [Crystal Deposit 25]
25.9 20.1 [27.2, 19.1] [Rare Flowers 5]
92.2 78.1 [93.4, 76.4] [Oil Rock 25]
99.5 95.2 [37.0, 47.3] [Metal Deposit 25]
34.8 51.9 [34.1, 53.1] [Obsidian Deposit 25]
83.6 2.8 [89.5, 3.1] [Silica Deposit 25]
80.4 70.9 [37.0, 47.3] [Metal Deposit 25]
22.4 98.7 [28.3, 96.1] [Oil Rock 25]
29.6 19.5 [29.2, 27.0] [Metal Deposit 25]
52.2 9.8 [53.0, 10.4] [Underwater Metal Deposit 25]
18.8 50.0 [37.0, 47.3] [Metal Deposit 25]
78.4 92.7 [77.2, 91.8] [Underwater Metal Deposit 25]
81.9 6.0 [81.3, 6.5] [Metal Deposit 25]
34.7 76.8 [35.4, 78.0] [Metal Deposit 25]
30.5 62.7 [37.0, 47.3] [Metal Deposit 25]
82.6 22.9 [37.0, 47.3] [Metal Deposit 25]
33.9 40.0 [37.0, 47.3] [Metal Deposit 25]
61.4 13.5 [37.0, 47.3] [Metal Deposit 25]
