[2.6, 88.0] [Crystal Deposit 25]
[88.1, 36.7] [Silica Deposit 25]
[92.6, 36.8] [Oil Rock 25]
[93.7, 36.7] [Underwater Metal Deposit 25]
[94.3, 36.7] [Silica Deposit 25]
[23.1, 36.9] [Rich Metal Deposit 100]
[23.1, 37.7] [Water Vein 1]
[30.9, 37.0] [Obsidian Deposit 25]
[43.7, 37.1] [Metal Deposit 25]
[45.1, 36.9] [Metal Deposit 25]
[47.6, 37.0] [Rare Flowers 5]
[48.5, 36.9] [Rare Flowers 5]
[72.9, 36.9] [Water Vein 1]
[92.0, 36.9] [Silica Deposit 25]
[51.2, 37.0] [Metal Deposit 25]
[55.5, 37.0] [Metal Deposit 25]
[47.6, 37.1] [Metal Deposit 25]
[50.7, 37.1] [Rare Flowers 5]
[62.6, 37.2] [Metal Deposit 25]
[35.7, 37.3] [Obsidian Deposit 25]
[38.0, 37.4] [Water Vein 1]
[38.9, 37.3] [Metal Deposit 25]
[40.5, 37.3] [Metal Deposit 25]
[42.0, 37.3] [Rare Flowers 5]
[45.1, 37.3] [Rare Flowers 5]
[90.5, 37.3] [Silica Deposit 25]
[24.0, 37.5] [Metal Deposit 25]
[25.1, 37.8] [Rich Metal Deposit 100]
[37.5, 37.5] [Oil Rock 25]
[46.6, 37.5] [Rare Flowers 5]
[31.8, 37.6] [Water Vein 1]
[35.9, 37.8] [Oil Rock 25]
[49.5, 37.6] [Rare Flowers 5]
[65.4, 37.6] [Metal Deposit 25]
[73.8, 37.6] [Metal Deposit 25]
[76.9, 37.6] [Rich Metal Deposit 100]
[77.2, 37.6] [Rare Flowers 5]
[74.7, 37.7] [Rare Flowers 5]
[47.7, 37.8] [Metal Deposit 25]
[71.0, 37.8] [Water Vein 1]
[74.4, 37.8] [Rich Metal Deposit 100]
[77.5, 37.8] [Metal Deposit 25]
[17.8, 37.9] [Water Vein 1]
[19.4, 38.0] [Rich Metal Deposit 100]
[29.9, 37.9] [Obsidian Deposit 25]
[34.0, 38.0] [Obsidian Deposit 25]
[35.2, 37.9] [Metal Deposit 25]
[35.7, 38.1] [Obsidian Deposit 25]
[37.5, 37.9] [Water Vein 1]
[39.7, 38.0] [Silica Deposit 25]
[40.1, 38.0] [Water Vein 1]
[70.9, 38.0] [Metal Deposit 25]
[94.2, 38.0] [Oil Rock 25]
[88.1, 38.1] [Oil Rock 25]
[91.6, 38.1] [Oil Rock 25]
[94.2, 38.1] [Silica Deposit 25]
[31.7, 38.2] [Obsidian Deposit 25]
[35.1, 38.2] [Crystal Deposit 25]
[40.1, 38.2] [Metal Deposit 25]
[78.8, 38.2] [Metal Deposit 25]
[86.7, 38.2] [Water Vein 1]
[89.3, 38.2] [Silica Deposit 25]
[96.4, 38.2] [Silica Deposit 25]
[25.3, 38.3] [Rare Flowers 5]
[31.5, 38.4] [Metal Deposit 25]
[35.8, 38.3] [Metal Deposit 25]
[39.0, 38.4] [Metal Deposit 25]
[54.2, 38.3] [Metal Deposit 25]
[76.6, 38.3] [Rich Metal Deposit 100]
[39.2, 38.4] [Obsidian Deposit 25]
[40.2, 38.6] [Obsidian Deposit 25]
[42.3, 38.4] [Rare Flowers 5]
[45.2, 38.4] [Obsidian Deposit 25]
[45.7, 38.4] [Metal Deposit 25]
[80.4, 38.5] [Crystal Deposit 25]
[80.5, 38.4] [Obsidian Deposit 25]
[81.4, 38.6] [Crystal Deposit 25]
[97.3, 38.6] [Underwater Metal Deposit 25]
[13.8, 38.7] [Obsidian Deposit 25]
[14.0, 38.9] [Metal Deposit 25]
[24.8, 38.8] [Water Vein 1]
[82.8, 38.7] [Metal Deposit 25]
[38.8, 38.8] [Rare Flowers 5]
[69.9, 38.8] [Crystal Deposit 25]
[74.0, 38.8] [Rich Metal Deposit 100]
[86.8, 38.8] [Metal Deposit 25]
[92.8, 38.8] [Underwater Metal Deposit 25]
[18.7, 38.9] [Obsidian Deposit 25]
[21.7, 39.1] [Water Vein 1]
[26.6, 39.3] [Salt Deposit 5, Metal Deposit 25]
[33.3, 38.9] [Metal Deposit 25]
[34.7, 38.9] [Obsidian Deposit 25]
[38.0, 38.9] [Metal Deposit 25]
[38.0, 39.1] [Rare Flowers 5]
[47.7, 39.1] [Metal Deposit 25]
[50.4, 38.9] [Rare Flowers 5]
[70.8, 39.1] [Rich Metal Deposit 100]
[81.3, 38.9] [Metal Deposit 25]
[86.7, 39.0] [Rich Metal Deposit 100, Crystal Deposit 25]
[93.3, 38.9] [Silica Deposit 25]
[95.0, 39.1] [Underwater Metal Deposit 25]
[95.3, 39.0] [Silica Deposit 25]
[95.8, 39.0] [Oil Rock 25]
[44.5, 39.3] [Rare Flowers 5]
[72.9, 39.3] [Silica Deposit 25]
[86.8, 39.3] [Oil Vein 50]
[93.8, 39.3] [Oil Rock 25]
[24.5, 39.4] [Water Vein 1]
[32.2, 39.4] [Metal Deposit 25]
[37.2, 39.4] [Obsidian Deposit 25]
[78.4, 39.4] [Rich Metal Deposit 100]
[78.9, 39.4] [Metal Deposit 25]
[80.6, 39.4] [Obsidian Deposit 25]
[84.2, 39.4] [Rich Metal Deposit 100]
[12.2, 39.5] [Metal Deposit 25]
[12.6, 41.6] [Metal Deposit 25]
[13.3, 39.8] [Obsidian Deposit 25]
[14.4, 39.6] [Obsidian Deposit 25]
[19.7, 39.7] [Metal Deposit 25]
[21.8, 39.5] [Silica Deposit 25]
[24.0, 39.6] [Metal Deposit 25]
[30.9, 39.5] [Metal Deposit 25]
[52.4, 39.5] [Rare Flowers 5]
[81.8, 39.5] [Oil Vein 50]
[81.9, 39.5] [Obsidian Deposit 25]
[91.5, 39.5] [Oil Rock 25]
[71.3, 39.6] [Metal Deposit 25]
[89.1, 39.6] [Silica Deposit 25]
[32.7, 39.7] [Obsidian Deposit 25]
[37.0, 39.8] [Rich Metal Deposit 100]
[48.7, 39.7] [Metal Deposit 25]
[49.7, 39.9] [Metal Deposit 25]
[70.2, 39.8] [Rich Metal Deposit 100]
[75.3, 39.7] [Metal Deposit 25]
[74.4, 39.8] [Rare Flowers 5]
[79.3, 39.8] [Rich Metal Deposit 100]
[84.7, 39.8] [Metal Deposit 25]
[97.5, 39.8] [Silica Deposit 25]
[58.5, 39.9] [Metal Deposit 25]
[62.2, 39.9] [Obsidian Deposit 25]
[74.4, 39.9] [Rich Metal Deposit 100]
[75.8, 39.9] [Rare Flowers 5]
[92.0, 39.9] [Oil Rock 25]
[26.8, 40.0] [Rare Flowers 5]
[62.7, 40.1] [Salt Deposit 5]
[78.2, 40.0] [Obsidian Deposit 25]
[71.6, 40.1] [Rich Metal Deposit 100]
[75.0, 40.1] [Obsidian Deposit 25]
[76.5, 40.1] [Water Vein 1]
[15.5, 40.2] [Metal Deposit 25]
[19.3, 40.2] [Metal Deposit 25]
[21.2, 40.2] [Water Vein 1]
[22.6, 40.5] [Metal Deposit 25]
[23.9, 40.3] [Water Vein 1]
[26.1, 40.2] [Obsidian Deposit 25]
[44.6, 40.2] [Metal Deposit 25]
[75.1, 40.2] [Water Vein 1]
[89.3, 40.2] [Oil Rock 25]
[92.5, 40.2] [Silica Deposit 25]
[24.0, 40.3] [Water Vein 1, Water Vein 1]
[34.2, 40.5] [Rare Flowers 5]
[35.2, 40.3] [Obsidian Deposit 25, Rare Flowers 5]
[37.0, 40.5] [Clay 5]
[53.1, 40.3] [Metal Deposit 25]
[38.0, 40.4] [Metal Deposit 25]
[39.1, 40.4] [Rare Flowers 5]
[65.4, 40.4] [Crystal Deposit 25]
[65.5, 40.4] [Salt Deposit 5]
[74.2, 40.4] [Rare Flowers 5]
[75.4, 40.4] [Rich Metal Deposit 100]
[51.1, 40.5] [Metal Deposit 25]
[52.0, 40.5] [Metal Deposit 25]
[54.0, 40.5] [Metal Deposit 25]
[62.9, 40.5] [Crystal Deposit 25]
[67.1, 40.5] [Metal Deposit 25]
[81.0, 40.5] [Metal Deposit 25]
[85.6, 40.5] [Metal Deposit 25]
[90.1, 40.5] [Underwater Metal Deposit 25]
[22.9, 40.6] [Rich Metal Deposit 100]
[23.7, 41.0] [Obsidian Deposit 25]
[34.5, 40.7] [Metal Deposit 25]
[40.2, 40.6] [Obsidian Deposit 25]
[70.2, 40.6] [Metal Deposit 25]
[82.0, 40.6] [Rich Metal Deposit 100, Metal Deposit 25]
[37.1, 40.7] [Salt Deposit 5]
[67.1, 40.7] [Crystal Deposit 25]
[75.5, 40.7] [Metal Deposit 25]
[85.7, 40.7] [Obsidian Deposit 25]
[25.0, 40.8] [Metal Deposit 25]
[30.4, 40.8] [Water Vein 1]
[39.9, 40.9] [Rich Metal Deposit 100]
[65.4, 40.8] [Rich Metal Deposit 100]
[43.3, 40.9] [Rich Metal Deposit 100]
[63.6, 40.9] [Salt Deposit 5]
[68.7, 40.9] [Crystal Deposit 25]
[72.5, 40.9] [Rich Metal Deposit 100]
[72.8, 40.9] [Obsidian Deposit 25]
[30.6, 41.0] [Obsidian Deposit 25]
[34.3, 41.0] [Rich Metal Deposit 100]
[13.3, 41.1] [Silica Deposit 25]
[21.0, 41.1] [Crystal Deposit 25]
[26.0, 41.1] [Metal Deposit 25]
[31.8, 41.2] [Water Vein 1]
[39.8, 41.1] [Rare Flowers 5]
[72.9, 41.1] [Crystal Deposit 25]
[32.1, 41.2] [Metal Deposit 25]
[32.2, 41.2] [Rich Metal Deposit 100]
[35.9, 41.2] [Rare Flowers 5]
[36.6, 41.3] [Rare Flowers 5]
[68.0, 41.2] [Metal Deposit 25]
[80.7, 41.2] [Obsidian Deposit 25]
[92.8, 41.2] [Oil Rock 25]
[97.7, 41.2] [Underwater Metal Deposit 25]
[37.8, 41.3] [Silica Deposit 25]
[40.9, 41.3] [Rich Metal Deposit 100]
[63.9, 41.3] [Rich Metal Deposit 100]
[66.8, 41.3] [Rich Metal Deposit 100]
[67.9, 41.3] [Rich Metal Deposit 100]
[70.6, 41.3] [Crystal Deposit 25]
[70.7, 41.3] [Obsidian Deposit 25]
[12.9, 41.4] [Obsidian Deposit 25]
[17.5, 41.5] [Metal Deposit 25]
[20.2, 41.4] [Rich Metal Deposit 100]
[35.2, 41.4] [Obsidian Deposit 25]
[35.2, 41.6] [Rich Metal Deposit 100]
[42.5, 41.4] [Metal Deposit 25]
[71.3, 41.4] [Crystal Deposit 25, Metal Deposit 25]
[74.6, 41.4] [Rare Flowers 5]
[88.7, 41.4] [Silica Deposit 25]
[64.3, 41.5] [Salt Deposit 5]
[40.4, 41.6] [Obsidian Deposit 25]
[41.9, 41.6] [Metal Deposit 25]
[42.8, 41.6] [Clay 5]
[19.1, 41.7] [Obsidian Deposit 25]
[19.2, 41.9] [Rich Metal Deposit 100]
[20.7, 41.7] [Obsidian Deposit 25]
[22.9, 41.7] [Silica Deposit 25]
[38.9, 41.7] [Rich Metal Deposit 100]
[42.6, 41.7] [Obsidian Deposit 25]
[70.2, 41.7] [Metal Deposit 25]
[39.0, 41.8] [Rare Flowers 5]
[39.3, 41.8] [Metal Deposit 25]
[69.3, 41.8] [Crystal Deposit 25]
[34.3, 41.9] [Metal Deposit 25]
[35.6, 42.0] [Obsidian Deposit 25]
[36.7, 41.9] [Rich Metal Deposit 100]
[38.4, 41.9] [Obsidian Deposit 25]
[72.9, 41.9] [Rich Metal Deposit 100]
[40.6, 42.0] [Metal Deposit 25]
[41.3, 42.0] [Clay 5]
[8.0, 42.1] [Underwater Metal Deposit 25]
[11.3, 42.7] [Metal Deposit 25]
[12.9, 45.0] [Metal Deposit 25]
[18.9, 42.1] [Water Vein 1]
[19.5, 42.1] [Metal Deposit 25]
[25.6, 42.1] [Metal Deposit 25]
[41.1, 42.1] [Rich Metal Deposit 100]
[66.1, 42.1] [Salt Deposit 5]
[69.4, 42.1] [Silica Deposit 25]
[69.9, 42.1] [Oil Rock 25]
[20.6, 42.2] [Obsidian Deposit 25]
[21.1, 42.4] [Crystal Deposit 25]
[21.4, 42.5] [Metal Deposit 25]
[21.9, 42.2] [Rich Metal Deposit 100]
[24.6, 42.2] [Clay 5]
[33.8, 42.2] [Crystal Deposit 25]
[67.7, 42.2] [Crystal Deposit 25]
[90.4, 42.2] [Underwater Metal Deposit 25]
[27.7, 42.3] [Rich Metal Deposit 100]
[28.0, 42.5] [Metal Deposit 25]
[31.7, 42.4] [Obsidian Deposit 25]
[40.2, 42.4] [Metal Deposit 25]
[43.5, 42.3] [Rich Metal Deposit 100]
[41.1, 42.4] [Crystal Deposit 25]
[64.2, 42.4] [Rare Flowers 5]
[65.0, 42.4] [Crystal Deposit 25]
[97.6, 42.4] [Silica Deposit 25]
[31.9, 42.5] [Water Vein 1]
[35.1, 42.5] [Water Vein 1]
[37.5, 42.5] [Oil Rock 25]
[41.5, 42.5] [Obsidian Deposit 25]
[65.0, 42.5] [Obsidian Deposit 25]
[65.6, 42.5] [Crystal Deposit 25]
[71.5, 42.5] [Silica Deposit 25]
[30.3, 42.6] [Metal Deposit 25]
[32.8, 42.6] [Obsidian Deposit 25]
[39.2, 42.6] [Obsidian Deposit 25]
[42.7, 42.6] [Obsidian Deposit 25]
[65.0, 42.6] [Metal Deposit 25]
[21.1, 42.7] [Metal Deposit 25]
[22.0, 42.8] [Crystal Deposit 25]
[23.6, 42.7] [Rich Metal Deposit 100]
[28.3, 42.7] [Rich Metal Deposit 100]
[30.4, 42.7] [Rich Metal Deposit 100]
[38.3, 42.9] [Silica Deposit 25]
[42.0, 42.7] [Crystal Deposit 25]
[64.6, 42.7] [Rich Metal Deposit 100]
[39.0, 42.9] [Oil Rock 25]
[66.1, 42.9] [Metal Deposit 25]
[66.2, 42.9] [Rich Metal Deposit 100]
[66.7, 42.9] [Crystal Deposit 25]
[71.1, 42.9] [Obsidian Deposit 25]
[93.7, 43.0] [Silica Deposit 25]
[19.1, 43.1] [Rich Metal Deposit 100]
[20.0, 43.3] [Obsidian Deposit 25]
[20.4, 43.1] [Rich Metal Deposit 100]
[22.7, 43.5] [Silica Deposit 25]
[36.2, 43.1] [Rich Metal Deposit 100]
[30.3, 43.2] [Water Vein 1]
[35.6, 43.2] [Rich Metal Deposit 100]
[64.8, 43.2] [Crystal Deposit 25]
[74.7, 43.2] [Metal Deposit 25]
[35.6, 43.3] [Metal Deposit 25]
[36.4, 43.4] [Salt Deposit 5]
[40.9, 43.3] [Rare Flowers 5]
[60.1, 43.3] [Metal Deposit 25]
[74.9, 43.3] [Rich Metal Deposit 100]
[80.4, 43.3] [Metal Deposit 25]
[94.4, 43.4] [Underwater Metal Deposit 25]
[94.7, 43.3] [Silica Deposit 25]
[37.5, 43.5] [Rare Flowers 5]
[39.1, 43.6] [Metal Deposit 25]
[39.3, 43.5] [Obsidian Deposit 25]
[42.1, 43.5] [Metal Deposit 25]
[43.2, 43.5] [Obsidian Deposit 25]
[62.7, 43.6] [Metal Deposit 25]
[96.8, 43.5] [Silica Deposit 25]
[70.7, 43.6] [Rich Metal Deposit 100]
[83.6, 43.6] [Metal Deposit 25]
[13.0, 43.7] [Obsidian Deposit 25]
[13.1, 44.5] [Silica Deposit 25]
[22.5, 43.8] [Metal Deposit 25]
[38.2, 43.7] [Oil Rock 25]
[40.2, 43.7] [Salt Deposit 5]
[24.3, 43.8] [Metal Deposit 25]
[36.4, 43.9] [Obsidian Deposit 25]
[69.2, 43.8] [Crystal Deposit 25]
[67.9, 43.9] [Metal Deposit 25]
[79.8, 43.9] [Oil Rock 25]
[13.6, 44.0] [Metal Deposit 25]
[15.7, 45.8] [Metal Deposit 25]
[16.2, 44.0] [Obsidian Deposit 25]
[16.6, 44.1] [Metal Deposit 25]
[19.1, 44.2] [Metal Deposit 25]
[20.6, 44.3] [Rich Metal Deposit 100]
[21.3, 44.1] [Metal Deposit 25]
[29.6, 44.1] [Rich Metal Deposit 100]
[39.6, 44.1] [Rare Flowers 5]
[74.0, 44.0] [Crystal Deposit 25]
[80.5, 44.0] [Silica Deposit 25]
[89.9, 44.0] [Underwater Metal Deposit 25]
[63.8, 44.1] [Rich Metal Deposit 100]
[70.8, 44.1] [Obsidian Deposit 25]
[31.7, 44.2] [Rich Metal Deposit 100]
[32.0, 44.2] [Metal Deposit 25]
[32.5, 44.2] [Rich Metal Deposit 100]
[38.2, 44.2] [Rich Metal Deposit 100]
[39.8, 44.2] [Rich Metal Deposit 100]
[64.0, 44.2] [Crystal Deposit 25]
[74.9, 44.2] [Rich Metal Deposit 100]
[78.3, 44.2] [Oil Rock 25]
[89.0, 44.2] [Silica Deposit 25]
[91.7, 44.2] [Silica Deposit 25]
[29.5, 44.3] [Metal Deposit 25]
[20.8, 44.4] [Metal Deposit 25]
[21.8, 44.6] [Metal Deposit 25]
[23.0, 44.4] [Crystal Deposit 25]
[27.6, 44.5] [Obsidian Deposit 25]
[34.6, 44.5] [Water Vein 1]
[38.1, 44.4] [Rich Metal Deposit 100]
[39.1, 44.4] [Silica Deposit 25]
[63.5, 44.4] [Crystal Deposit 25]
[63.5, 44.5] [Metal Deposit 25]
[64.1, 44.4] [Rare Flowers 5]
[70.4, 44.5] [Metal Deposit 25]
[76.0, 44.4] [Rich Metal Deposit 100]
[92.7, 44.4] [Silica Deposit 25]
[73.8, 44.5] [Metal Deposit 25]
[77.0, 44.6] [Silica Deposit 25]
[85.4, 44.5] [Oil Rock 25]
[27.6, 44.7] [Metal Deposit 25]
[39.7, 44.7] [Clay 5]
[63.9, 44.7] [Obsidian Deposit 25]
[69.3, 44.7] [Rich Metal Deposit 100]
[19.1, 44.8] [Obsidian Deposit 25]
[19.2, 45.1] [Crystal Deposit 25]
[21.8, 44.8] [Silica Deposit 25]
[22.3, 44.8] [Obsidian Deposit 25]
[27.8, 44.9] [Water Vein 1]
[41.5, 44.8] [Rich Metal Deposit 100]
[43.2, 44.8] [Rich Metal Deposit 100]
[63.9, 44.8] [Rich Metal Deposit 100]
[37.0, 44.9] [Rare Flowers 5]
[37.5, 44.9] [Metal Deposit 25]
[44.1, 44.9] [Rich Metal Deposit 100]
[20.6, 45.0] [Crystal Deposit 25]
[20.6, 45.2] [Metal Deposit 25]
[33.1, 45.2] [Water Vein 1]
[37.0, 45.0] [Metal Deposit 25]
[66.3, 45.0] [Metal Deposit 25]
[83.3, 45.0] [Oil Rock 25]
[33.5, 45.1] [Obsidian Deposit 25, Crystal Deposit 25]
[35.4, 45.3] [Rich Metal Deposit 100]
[62.5, 45.1] [Crystal Deposit 25]
[73.5, 45.1] [Oil Rock 25]
[78.6, 45.1] [Oil Rock 25]
[39.0, 45.2] [Crystal Deposit 25]
[39.2, 45.2] [Rare Flowers 5]
[64.7, 45.3] [Rare Flowers 5]
[23.1, 45.4] [Metal Deposit 25]
[23.4, 45.4] [Rich Metal Deposit 100]
[39.9, 45.4] [Metal Deposit 25]
[43.5, 45.4] [Obsidian Deposit 25]
[64.5, 45.5] [Rich Metal Deposit 100]
[80.7, 45.5] [Oil Rock 25]
[18.1, 45.6] [Metal Deposit 25]
[20.1, 45.6] [Obsidian Deposit 25]
[42.7, 45.6] [Metal Deposit 25]
[62.2, 45.6] [Rich Metal Deposit 100]
[75.9, 45.6] [Cactus 5]
[44.0, 45.7] [Metal Deposit 25]
[72.3, 45.7] [Silica Deposit 25]
[31.8, 45.8] [Rich Metal Deposit 100]
[36.3, 45.9] [Silica Deposit 25]
[38.8, 45.8] [Metal Deposit 25]
[37.6, 45.9] [Metal Deposit 25]
[12.2, 46.0] [Metal Deposit 25]
[13.0, 46.4] [Silica Deposit 25]
[21.1, 46.0] [Silica Deposit 25]
[37.7, 46.0] [Rich Metal Deposit 100]
[21.0, 46.1] [Metal Deposit 25]
[36.4, 46.4] [Clay 5]
[38.1, 46.1] [Oil Rock 25]
[42.5, 46.2] [Clay 5]
[64.7, 46.3] [Water Vein 1]
[64.6, 46.4] [Water Vein 1]
[80.1, 46.4] [Rich Metal Deposit 100]
[4.8, 46.5] [Oil Rock 25]
[4.9, 48.4] [Oil Rock 25]
[6.0, 51.3] [Underwater Metal Deposit 25]
[14.7, 46.8] [Obsidian Deposit 25]
[17.9, 46.5] [Silica Deposit 25]
[27.6, 46.5] [Crystal Deposit 25]
[28.0, 46.5] [Obsidian Deposit 25]
[30.3, 46.5] [Metal Deposit 25]
[37.1, 46.5] [Rich Metal Deposit 100]
[39.3, 46.5] [Rich Metal Deposit 100]
[41.3, 46.5] [Rich Metal Deposit 100]
[70.8, 46.5] [Crystal Deposit 25]
[84.1, 46.5] [Salt Deposit 5]
[37.1, 46.6] [Rare Flowers 5]
[74.8, 46.6] [Cactus 5]
[79.1, 46.6] [Silica Deposit 25]
[16.8, 46.7] [Water Vein 1]
[19.5, 46.8] [Water Vein 1]
[40.7, 46.8] [Metal Deposit 25]
[88.5, 46.7] [Oil Rock 25]
[61.3, 46.8] [Crystal Deposit 25]
[78.8, 46.8] [Rich Metal Deposit 100]
[23.7, 46.9] [Rich Metal Deposit 100]
[26.0, 47.0] [Clay 5]
[27.7, 46.9] [Metal Deposit 25]
[36.2, 47.1] [Oil Rock 25]
[38.0, 46.9] [Clay 5]
[38.1, 47.1] [Rare Flowers 5]
[38.2, 46.9] [Silica Deposit 25]
[72.5, 47.1] [Metal Deposit 25]
[72.7, 46.9] [Rich Metal Deposit 100]
[79.4, 46.9] [Oil Rock 25]
[8.0, 47.2] [Underwater Metal Deposit 25]
[8.0, 50.9] [Underwater Metal Deposit 25]
[15.3, 47.6] [Obsidian Deposit 25]
[20.0, 47.3] [Metal Deposit 25]
[21.6, 47.4] [Metal Deposit 25]
[27.5, 47.3] [Crystal Deposit 25]
[71.1, 47.2] [Rich Metal Deposit 100]
[34.8, 47.3] [Rich Metal Deposit 100]
[37.0, 47.3] [Metal Deposit 25]
[67.2, 47.3] [Metal Deposit 25]
[67.5, 47.3] [Crystal Deposit 25]
[23.1, 47.4] [Obsidian Deposit 25]
[23.6, 47.4] [Rich Metal Deposit 100]
[71.2, 47.4] [Metal Deposit 25]
[73.1, 47.4] [Rich Metal Deposit 100]
[79.0, 47.4] [Oil Rock 25]
[20.2, 47.5] [Obsidian Deposit 25]
[23.1, 47.7] [Water Vein 1]
[28.1, 47.5] [Obsidian Deposit 25]
[34.9, 47.5] [Obsidian Deposit 25]
[38.5, 47.5] [Metal Deposit 25]
[38.6, 47.6] [Oil Rock 25]
[61.8, 47.6] [Rich Metal Deposit 100]
[41.8, 47.7] [Clay 5]
[55.1, 47.7] [Crystal Deposit 25]
[57.2, 47.7] [Crystal Deposit 25]
[34.4, 47.8] [Rare Flowers 5]
[34.8, 47.8] [Metal Deposit 25]
[37.1, 47.8] [Rare Flowers 5]
[37.3, 47.8] [Obsidian Deposit 25]
[60.5, 47.8] [Crystal Deposit 25]
[89.0, 47.8] [Oil Rock 25]
[24.4, 47.9] [Rich Metal Deposit 100]
[33.4, 47.9] [Rich Metal Deposit 100]
[34.2, 47.9] [Obsidian Deposit 25]
[36.9, 47.9] [Clay 5]
[52.0, 47.9] [Crystal Deposit 25]
[63.1, 47.9] [Rich Metal Deposit 100]
[65.3, 47.9] [Metal Deposit 25]
[73.3, 48.0] [Metal Deposit 25]
[73.5, 47.9] [Rich Metal Deposit 100]
[85.6, 47.9] [Salt Deposit 5]
[15.9, 48.1] [Obsidian Deposit 25]
[19.8, 48.3] [Obsidian Deposit 25]
[69.1, 48.1] [Obsidian Deposit 25]
[84.0, 48.3] [Metal Deposit 25]
[24.3, 48.4] [Metal Deposit 25]
[26.9, 48.5] [Metal Deposit 25]
[29.2, 48.4] [Metal Deposit 25]
[30.3, 48.4] [Metal Deposit 25]
[29.6, 48.5] [Rich Metal Deposit 100]
[32.0, 48.6] [Water Vein 1]
[34.5, 48.5] [Obsidian Deposit 25]
[38.0, 48.5] [Metal Deposit 25]
[73.6, 48.5] [Cactus 5]
[53.8, 48.6] [Crystal Deposit 25]
[61.4, 48.6] [Rich Metal Deposit 100]
[87.2, 48.6] [Salt Deposit 5]
[27.1, 48.7] [Rich Metal Deposit 100]
[32.2, 48.8] [Rich Metal Deposit 100]
[33.2, 48.7] [Metal Deposit 25]
[35.1, 48.8] [Metal Deposit 25]
[52.0, 48.7] [Crystal Deposit 25]
[54.7, 48.8] [Crystal Deposit 25]
[57.8, 48.7] [Crystal Deposit 25]
[68.4, 48.7] [Metal Deposit 25]
[72.2, 48.7] [Water Vein 1]
[68.4, 48.8] [Crystal Deposit 25]
[9.1, 48.9] [Underwater Metal Deposit 25]
[19.3, 49.4] [Metal Deposit 25]
[23.1, 48.9] [Obsidian Deposit 25]
[28.1, 48.9] [Rich Metal Deposit 100]
[32.2, 48.9] [Obsidian Deposit 25]
[85.4, 48.9] [Metal Deposit 25]
[85.7, 48.9] [Rich Metal Deposit 100]
[84.3, 49.0] [Rich Metal Deposit 100]
[21.6, 49.1] [Water Vein 1]
[22.0, 49.1] [Metal Deposit 25]
[24.1, 49.6] [Water Vein 1]
[32.5, 49.1] [Metal Deposit 25]
[68.0, 49.1] [Rich Metal Deposit 100]
[90.4, 49.2] [Oil Rock 25]
[33.2, 49.3] [Rich Metal Deposit 100]
[34.7, 49.5] [Rare Flowers 5]
[72.5, 49.3] [Metal Deposit 25]
[74.8, 49.4] [Cactus 5]
[39.0, 49.6] [Clay 5]
[51.8, 49.7] [Rich Metal Deposit 100]
[60.6, 49.7] [Rich Metal Deposit 100]
[88.9, 49.7] [Oil Rock 25]
[28.0, 49.9] [Rich Metal Deposit 100]
[28.5, 49.9] [Metal Deposit 25]
[35.4, 49.9] [Clay 5]
[36.0, 49.9] [Crystal Deposit 25]
[36.7, 50.1] [Metal Deposit 25]
[51.9, 49.9] [Metal Deposit 25]
[53.7, 50.0] [Rich Metal Deposit 100]
[59.8, 50.2] [Rich Metal Deposit 100]
[72.9, 50.1] [Metal Deposit 25]
[89.5, 50.2] [Oil Rock 25]
[57.9, 50.3] [Rich Metal Deposit 100]
[63.5, 50.3] [Metal Deposit 25]
[29.0, 50.4] [Rich Metal Deposit 100]
[38.4, 50.5] [Metal Deposit 25]
[40.1, 50.4] [Metal Deposit 25]
[54.8, 50.7] [Rich Metal Deposit 100]
[55.7, 50.4] [Rich Metal Deposit 100]
[57.0, 50.5] [Rich Metal Deposit 100]
[66.2, 50.4] [Rich Metal Deposit 100]
[67.8, 50.4] [Crystal Deposit 25]
[68.4, 50.4] [Rich Metal Deposit 100]
[83.8, 50.4] [Metal Deposit 25]
[83.8, 50.5] [Rich Metal Deposit 100]
[85.1, 50.4] [Crystal Deposit 25]
[93.7, 50.5] [Silica Deposit 25]
[62.3, 50.6] [Rich Metal Deposit 100]
[77.9, 50.7] [Salt Deposit 5]
[85.1, 50.7] [Salt Deposit 5]
[89.3, 50.7] [Oil Rock 25]
[23.8, 50.9] [Metal Deposit 25]
[31.9, 51.1] [Metal Deposit 25]
[64.6, 51.0] [Rich Metal Deposit 100]
[74.6, 50.9] [Cactus 5]
[70.3, 51.0] [Salt Deposit 5]
[72.8, 51.0] [Cactus 5]
[80.2, 51.0] [Water Vein 1]
[82.3, 51.0] [Metal Deposit 25]
[88.7, 51.0] [Oil Rock 25]
[89.7, 51.0] [Silica Deposit 25]
[78.7, 51.1] [Water Vein 1]
[79.0, 51.2] [Water Vein 1]
[82.2, 51.1] [Rich Metal Deposit 100]
[79.1, 51.2] [Salt Deposit 5]
[94.3, 51.2] [Oil Rock 25]
[58.5, 51.3] [Metal Deposit 25]
[5.3, 51.4] [Oil Rock 25]
[5.6, 58.8] [Obsidian Deposit 25]
[5.7, 58.9] [Crystal Deposit 25]
[6.4, 60.9] [Crystal Deposit 25]
[7.7, 52.4] [Underwater Metal Deposit 25]
[14.3, 51.6] [Underwater Metal Deposit 25]
[23.5, 51.4] [Rich Metal Deposit 100]
[51.8, 51.5] [Rich Metal Deposit 100]
[53.6, 51.4] [Rich Metal Deposit 100]
